County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Duration_Days
YUBA,Yuba,2009-08-14,2009-08-24,"3,891",0,0,11 days,,,11
PLUMAS,ELEPHANT,2009-08-16,2009-08-31,445,0,0,16 days,,,16
SISKIYOU,RED ROCK,2009-08-21,2009-09-05,"1,364",0,0,16 days,,,16
LOS ANGELES,MORRIS,2009-08-25,2009-09-03,"2,163",0,0,10 days,,,10
MONTEREY,Bryson,2009-08-26,2009-08-29,"3,383",0,0,4 days,,,4
SAN DIEGO,RIDGE,2009-08-26,2009-08-29,500,0,0,4 days,,,4
MARIPOSA,BIG MEADOWS,2009-08-26,2009-09-07,"7,425",0,0,13 days,,,13
LOS ANGELES,STATION,2009-08-26,2009-10-16,"160,577",2,0,52 days,,,52
LASSEN,Day,2009-08-27,2009-08-30,853,0,0,4 days,,,4
RIVERSIDE,COTTONWOOD,2009-08-27,2009-08-31,"2,409",0,0,5 days,,,5
MONTEREY,Gloria,2009-08-27,2009-09-01,"6,437",0,0,6 days,,,6
SANTA CLARA,Pacheco,2009-08-29,2009-08-30,"1,600",0,0,2 days,,,2
PLACER,Forty Nine,2009-08-30,2009-09-01,311,0,0,3 days,,,3
SAN BERNARDINO,Oak Glen III,2009-08-30,2009-09-08,"1,159",0,0,10 days,,,10
SAN BERNARDINO,PENDLETON,2009-08-31,2009-09-04,860,0,0,5 days,,,5
LAKE,Oasis,2009-09-07,2009-09-12,"1,500",0,0,6 days,,,6
RIVERSIDE,Vail,2009-09-19,2009-09-20,398,0,0,2 days,,,2
PLUMAS,SILVER,2009-09-19,2009-09-21,307,0,0,3 days,,,3
VENTURA,GUIBERSON,2009-09-22,2009-10-01,"17,500",0,0,10 days,,,10
SAN BERNARDINO,CRAFTON,2009-09-23,2009-09-26,347,0,0,4 days,,,4
YOLO,SIX (NOT IN NFIRS),2009-10-01,2009-10-01,"1,235",0,0,1 days,,,1
SANTA BARBARA,HIGHWAY,2009-10-01,2009-10-03,617,0,0,3 days,,,3
