County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration
"VENTURA/SANTA
BARBARA",THOMAS,2017-12-04,2018-01-12,"281,893",0,274,1,1,40 days
LOS ANGELES,RYE,2017-12-05,2017-12-15,"6,049",6,3,0,0,11 days
LOS ANGELES,CREEK,2017-12-05,2017-12-29,"15,619",123,81,0,0,25 days
LOS ANGELES,SKIRBALL,2017-12-06,2017-12-17,422,9,13,0,0,12 days
RIVERSIDE,LIBERTY,2017-12-07,2017-12-09,300,3,1,0,0,3 days
SAN DIEGO,LILAC 5,2017-12-07,2017-12-16,"4,088",157,64,0,0,10 days
INYO,PLEASANT,2018-02-18,2018-02-25,"2,070",0,0,0,0,8 days
INYO,MOFFAT,2018-04-19,2018-04-24,"1,065",0,0,0,0,6 days
MERCED,NEES,2018-05-02,2018-05-02,"1,756",0,0,0,0,1 days
SAN DIEGO,ALPHA,2018-05-04,2018-05-05,300,0,0,0,0,2 days
RIVERSIDE,PATTERSON,2018-05-17,2018-05-18,"1,261",0,0,0,0,2 days
MADERA,CANAL,2018-05-19,2018-05-20,300,0,0,0,0,2 days
MADERA,O'NEALS,2018-06-04,2018-06-07,300,0,0,0,0,4 days
LOS ANGELES,STONE,2018-06-04,2018-06-08,"1,352",0,0,0,0,5 days
SAN BENITO,AIRLINE 2,2018-06-04,2018-06-12,"1,314",0,0,0,0,9 days
SAN BENITO,EASTERN 2,2018-06-04,2018-06-12,513,0,0,0,0,9 days
TEHAMA,APPLE,2018-06-09,2018-06-12,"2,956",9,3,0,0,4 days
GLENN,CHROME,2018-06-09,2018-06-22,"2,290",1,0,0,0,14 days
MADERA,LIONS,2018-06-11,2018-07-14,"12,990",0,0,0,0,34 days
LASSEN,TUMBLEWEED,2018-06-14,2018-06-17,646,0,0,0,0,4 days
MERCED,PLANADA,2018-06-15,2018-06-19,"4,563",0,0,0,0,5 days
SAN LUIS OBISPO,YANKEE,2018-06-20,2018-06-22,"1,500",0,0,0,0,3 days
TEHAMA,LANE,2018-06-23,2018-07-04,"3,392",0,0,0,0,12 days
LAKE,PAWNEE,2018-06-23,2018-07-08,"15,180",22,6,0,0,16 days
SHASTA,PANTHER,2018-06-24,2018-06-26,386,0,0,0,0,3 days
BUTTE,SHIPPEE,2018-06-26,2018-06-27,460,0,0,0,0,2 days
LASSEN,HYATT,2018-06-27,2018-06-29,383,4,0,0,0,3 days
SAN JOAQUIN,WAVERLY,2018-06-29,2018-07-12,"11,789",1,0,0,0,14 days
YOLO,COUNTY,2018-06-30,2018-07-14,"90,000",29,4,0,0,15 days
EL DORADO,SHINGLE,2018-07-04,2018-07-05,316,0,0,0,0,2 days
SISKIYOU,KLAMATHON,2018-07-05,2018-07-21,"38,008",83,12,0,1,17 days
AMADOR,IRISH,2018-07-06,2018-07-09,825,1,1,0,0,4 days
SAN DIEGO,PENDLETON COMPLEX,2018-07-06,2018-07-10,"1,520",0,0,0,0,5 days
SAN DIEGO,WEST,2018-07-06,2018-07-10,505,48,14,0,0,5 days
SAN BERNARDINO,VALLEY,2018-07-06,2018-07-12,"1,350",0,0,0,0,7 days
ALAMEDA,GRANT,2018-07-08,2018-07-09,480,1,0,0,0,2 days
INYO,GEORGES,2018-07-08,2018-07-23,"2,941",0,0,0,0,16 days
TEHAMA,DALE,2018-07-09,2018-07-09,856,0,0,0,0,1 days
BUTTE,STONEY,2018-07-12,2018-07-20,"1,000",0,0,0,0,9 days
MODOC,EAGLE,2018-07-13,2018-07-20,"2,100",0,0,0,0,8 days
MARIPOSA,FERGUSON,2018-07-13,2018-08-22,"96,901",11,0,2,0,41 days
YOLO,EIGHTY EIGHT,2018-07-18,2018-07-21,822,0,0,0,0,4 days
SANTA CLARA,COUNTRY,2018-07-22,2018-07-24,320,0,0,0,0,3 days
SHASTA,CARR,2018-07-23,2018-09-01,"229,651",0,279,3,4,41 days
RIVERSIDE,CRANSTON,2018-07-25,2018-08-09,"13,139",12,5,0,0,16 days
SAN DIEGO,PASQUAL,2018-07-27,2018-07-31,365,0,0,0,0,5 days
LASSEN,WHALEBACK,2018-07-27,2018-08-06,"18,703",0,0,0,0,11 days
"COLUSA, GLENN,
LAKE, MENDOCINO","RANCH - MENDOCINO
COMPLEX",2018-07-27,2018-08-17,"410,203",246,27,1,0,22 days
"COLUSA, LAKE,
MENDOCINO","RIVER - MENDOCINO
COMPLEX",2018-07-27,2018-09-27,"48,920",35,11,0,0,63 days
SUTTER,BUTTE,2018-07-31,2018-08-02,"1,000",0,0,0,0,3 days
MONO,OWENS,2018-07-31,2018-08-05,338,0,0,0,0,6 days
MONO,HOTCREEK,2018-07-31,2018-08-05,419,0,0,0,0,6 days
MENDOCINO,EEL,2018-07-31,2018-08-08,972,10,0,0,0,9 days
PLACER,SUNSET,2018-08-01,2018-08-03,695,0,0,0,0,3 days
TUOLUMNE,DONNELL,2018-08-01,2018-10-31,"36,450",135,0,0,0,92 days
KERN,TARINA,2018-08-03,2018-08-05,"3,516",0,0,0,0,3 days
MONTEREY,TURKEY,2018-08-06,2018-08-07,"2,225",0,0,0,0,2 days
ORANGE,HOLY,2018-08-06,2018-09-14,"23,025",24,18,0,0,40 days
SHASTA,HAT,2018-08-09,2018-08-23,"1,900",0,0,0,0,15 days
SHASTA,HIRZ,2018-08-09,2018-09-12,"46,051",0,0,0,0,35 days
SOLANO,NELSON,2018-08-10,2018-08-14,"2,162",1,1,0,0,5 days
MONTEREY,GULCH,2018-08-11,2018-08-11,700,0,0,0,0,1 days
TULARE,RIVER 7,2018-08-15,2018-08-19,496,0,0,0,0,5 days
MODOC,STONE,2018-08-15,2018-09-01,"39,387",2,0,0,0,18 days
HUMBOLDT,MILL CREEK 1,2018-08-16,2018-08-30,"3,674",0,0,0,0,15 days
KERN,CALL,2018-08-18,2018-08-21,367,0,0,0,0,4 days
SAN LUIS OBISPO,FRONT,2018-08-19,2018-08-29,"1,014",0,0,0,0,11 days
PLACER,NORTH,2018-09-03,2018-09-16,"1,120",0,0,0,0,14 days
