County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
MONTEREY,WILLOW,2021-06-17,2021-07-11,"2,877",0,0,25,0,0
SHASTA,COW,2021-06-20,2021-06-26,761,0,0,7,2,0
SISKIYOU,TENNANT,2021-06-28,2021-07-31,"10,580",0,0,34,9,1
SHASTA,SALT,2021-06-30,2021-07-19,"12,660",0,0,20,43,4
LOS ANGELES,TUMBLEWEED,2021-07-04,2021-07-09,868,0,0,6,0,0
ALPINE,TAMARACK,2021-07-04,2021-10-15,"68,637",0,0,104,15,2
MARIPOSA,RIVER,2021-07-11,2021-07-21,"9,656",0,0,11,12,2
KERN,PEAK,2021-07-20,2021-08-03,"2,098",0,0,15,1,1
SISKIYOU,RIVER COMPLEX,2021-07-30,2021-11-01,"199,359",0,0,95,122,2
SISKIYOU,ANTELOPE,2021-08-01,2021-10-13,"145,632",0,0,74,20,4
PLACER,RIVER,2021-08-04,2021-09-22,"2,619",0,0,50,142,21
KERN,FRENCH,2021-08-18,2021-10-20,"26,535",0,0,64,49,6
SAN BERNARDINO,SOUTH,2021-08-25,2021-09-01,680,0,0,8,9,28
SAN BERNARDINO,POND,2021-08-30,2021-09-04,491,0,0,6,0,0
LOS ANGELES,ROUTE,2021-09-11,2021-09-17,464,0,0,7,0,0
INYO,AIRPORT,2022-02-16,2022-02-26,"4,136",0,0,11,0,0
MADERA,VALLEY,2022-04-13,2022-04-13,680,0,0,1,0,0
NAPA,OLD,2022-05-31,2022-06-05,570,0,0,6,0,0
TEHAMA,RANCHO,2022-06-13,2022-06-18,593,0,0,6,7,2
ALAMEDA,TESLA,2022-06-23,2022-06-23,552,0,0,1,0,0
MERCED,ROMERO,2022-06-23,2022-06-24,349,0,0,2,0,0
BUTTE,NELSON,2022-06-30,2022-06-30,328,0,0,1,0,0
MARIPOSA,OAK,2022-07-22,2022-09-02,"19,244",0,0,43,194,10
LOS ANGELES,ROUTE,2022-08-31,2022-09-06,"5,208",0,0,7,2,0
SISKIYOU,MILL,2022-09-02,2022-09-14,"3,939",0,2,13,118,26
SISKIYOU,MOUNTAIN,2022-09-02,2022-10-30,"13,440",0,0,59,4,0
MADERA,FORK,2022-09-07,2022-09-14,819,0,0,8,43,1
