County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd
Butte,PALERMO,2010-07-04,2010-07-05,900,0,0,2,0,0
Santa Barbara,166,2010-07-12,2010-07-12,350,0,0,1,1,0
San Diego,ALISO,2010-07-13,2010-07-15,3225,0,0,3,0,0
Riverside,SKINNER,2010-07-15,2010-07-18,503,0,0,4,0,0
Riverside,CACTUS,2010-07-15,2010-07-18,720,0,0,4,1,0
Kern,BODFISH,2010-07-15,2010-07-18,552,0,0,4,0,0
Kern,SAND 2,2010-07-16,2010-07-22,1254,0,0,7,0,0
Fresno,SHEEP,2010-07-16,2010-10-25,9020,0,0,102,0,0
Kern,INDIAN,2010-07-18,2010-07-24,1822,0,0,7,0,0
Mono,PATATO,2010-07-24,2010-07-27,686,0,0,4,0,0
Tuolumne,SLOPE,2010-07-25,2010-08-23,1711,0,0,30,0,0
Mono,MONO,2010-07-26,2010-07-29,1205,0,0,4,0,0
Kern,BULL,2010-07-26,2010-08-10,16442,0,0,16,14,0
Kern,WEST,2010-07-27,2010-08-06,1658,0,0,11,50,13
Lassen,MCDONALD,2010-07-27,2010-08-10,9408,0,0,15,0,0
Los Angeles,BRIGGS,2010-07-29,2010-07-30,510,0,0,2,0,0
Los Angeles,CROWN,2010-07-29,2010-08-03,14000,0,0,6,10,6
Siskiyou,DUTCH,2010-07-31,2010-08-04,371,0,0,5,0,0
Plumas,BAR,2010-07-31,2010-08-10,1040,0,0,11,0,0
Madera,BUCKHORN,2010-08-07,2010-10-30,466,0,0,85,0,0
Tuolumne,VERNON,2010-08-08,2010-10-31,909,0,0,85,0,0
Tuolumne,PINECREST,2010-08-09,2010-10-15,799,0,0,68,0,0
Tulare,STOKES 2,2010-08-17,2010-08-18,879,0,0,2,0,0
Placer,BASELINE,2010-08-20,2010-08-21,434,0,0,2,0,0
San Luis Obispo,POZO,2010-08-21,2010-08-22,1200,0,0,2,0,0
San Diego,MONTE,2010-08-21,2010-08-23,2000,0,0,3,0,0
Lake,INDIAN,2010-08-24,2010-08-26,450,0,0,3,0,0
Kern,POST,2010-08-25,2010-08-28,1312,0,0,4,0,0
Yuba,BULLARD,2010-08-27,2010-08-31,1307,0,0,5,0,0
Nevada,BULLARDS,2010-08-27,2010-09-13,1500,0,0,18,0,0
San Diego,COWBOY,2010-09-02,2010-09-07,827,0,0,6,0,0
Kern,CANYON,2010-09-12,2010-09-19,9820,0,0,8,1,0
Santa Barbara,BEAR CREEK,2010-10-28,2010-10-30,1253,0,0,3,0,0
Inyo,WINTERTON,2011-03-09,2011-03-09,395,0,0,1,0,0
Inyo,CENTER,2011-03-18,2011-03-23,850,0,0,6,19,0
Monterey,METZ,2011-05-12,2011-05-14,832,0,0,3,0,0
Kern,COVE,2011-05-27,2011-06-02,1122,0,0,7,0,0
Monterey,CATTLEMAN,2011-05-29,2011-05-30,382,0,0,2,0,0
Modoc,COUGAR,2011-06-08,2011-06-13,1800,0,0,6,0,0
Kern,IKEA,2011-06-12,2011-06-12,640,0,0,1,0,0
Kern,ANTELOPE,2011-06-19,2011-06-21,5200,0,0,3,2,0
Kern,QUINN,2011-06-21,2011-06-22,3154,0,0,2,0,0
