County,Fire Name,Start,Contained,Acres,Strux_Destr,Strux_Dmgd,Deaths_FF,Deaths_Civil,Duration,Duration_Days
Kern,HUDSON,7/18/2017,7/18/2017,1083,0,0,0,0,1 days,1
Siskiyou,MARBLE,7/19/2017,7/28/2017,319,0,0,0,0,10 days,10
Tulare,ELEPHANT 2,7/20/2017,7/21/2017,416,0,0,0,0,2 days,2
Modoc,MODOC JULY COMPLEX,7/24/2017,8/13/2017,83120,0,0,0,0,21 days,21
Siskiyou,ORLEANS COMPLEX,7/25/2017,10/12/2017,27276,0,0,0,0,80 days,80
Washoe (NV),R-21,7/26/2017,7/27/2017,589,0,0,0,0,2 days,2
Sacramento,LATROBE,7/26/2017,7/28/2017,1268,0,0,0,0,3 days,3
Tuolumne,JACKSONVILLE,7/29/2017,8/4/2017,675,1,0,0,0,7 days,7
Plumas,MINERVA 5,7/29/2017,8/16/2017,4310,0,0,0,0,19 days,19
Tulare,ROADRUNNER,7/30/2017,7/31/2017,2289,0,0,0,0,2 days,2
Kern,GARDEN,7/30/2017,8/9/2017,450,0,0,0,0,11 days,11
Mono,GRANT,7/31/2017,8/3/2017,400,0,0,0,0,4 days,4
Tuolumne,SUMMIT COMPLEX,7/31/2017,11/30/2017,5248,0,0,0,0,123 days,123
Mariposa,EMPIRE,8/1/2017,10/31/2017,6370,0,0,0,0,92 days,92
San Luis Obispo,RED,8/2/2017,8/3/2017,450,0,0,0,0,2 days,2
San Bernardino,BRYANT 2,8/3/2017,8/14/2017,325,1,0,0,0,12 days,12
Modoc,PARKER 2,8/3/2017,8/14/2017,7697,1,0,0,0,12 days,12
Tulare,INDIAN,8/3/2017,8/29/2017,2295,0,0,0,0,27 days,27
Plumas,CHILCOOT,8/6/2017,8/8/2017,1021,0,0,0,0,3 days,3
Lassen,POSLIN,8/6/2017,8/9/2017,860,0,0,0,0,4 days,4
Madera,BUTTE,8/7/2017,8/17/2017,635,0,0,0,0,11 days,11
Del Norte,YOUNG,8/7/2017,10/15/2017,21377,0,0,0,0,70 days,70
Trinity,RUTH COMPLEX,8/9/2017,8/25/2017,4736,0,0,0,0,17 days,17
Kern,ROSE,8/10/2017,8/10/2017,338,0,0,0,0,1 days,1
Riverside,BLAINE,8/13/2017,8/16/2017,1500,0,46,0,0,4 days,4
Siskiyou,SALMON AUGUST COMPLEX,8/13/2017,10/20/2017,65889,1,0,0,0,69 days,69
Mariposa,SOUTH FORK,8/13/2017,11/30/2017,7000,0,0,0,0,110 days,110
Riverside,MIAS,8/14/2017,8/18/2017,600,0,0,0,0,5 days,5
Jackson (OR),MILLER COMPLEX,8/14/2017,11/30/2017,39716,0,0,0,0,109 days,109
Siskiyou,ECLIPSE COMPLEX,8/15/2017,10/10/2017,78698,0,0,0,0,57 days,57
Yuba,BEALE,8/20/2017,8/20/2017,950,0,0,0,0,1 days,1
Modoc,JONES,8/23/2017,8/27/2017,375,0,0,0,0,5 days,5
Modoc,BOLES,8/23/2017,9/4/2017,371,0,0,0,0,13 days,13
Lassen,MUD,8/29/2017,9/1/2017,6042,0,0,0,0,4 days,4
Mono,SLINKARD,8/29/2017,9/11/2017,8925,0,0,0,0,14 days,14
Madera,RAILROAD,8/29/2017,9/15/2017,12407,8,1,1,0,18 days,18
Tulare,PIER,8/29/2017,9/24/2017,36556,2,0,0,0,27 days,27
Butte,PONDEROSA,8/29/2017,10/28/2017,4016,55,0,0,0,61 days,61
Nevada,PLEASANT,8/30/2017,9/6/2017,392,1,1,0,0,8 days,8
Washoe (NV),R-4,8/30/2017,9/18/2017,18618,0,0,0,0,20 days,20
Trinity,HELENA,8/30/2017,10/19/2017,21449,131,0,0,0,51 days,51
Kern,CALDWELL,9/1/2017,9/6/2017,1319,0,0,0,0,6 days,6
Los Angeles,LA TUNA,9/1/2017,9/8/2017,7194,5,0,0,0,8 days,8
Riverside,PALMER,9/2/2017,9/9/2017,3800,0,1,0,0,8 days,8
Madera,PEAK,9/3/2017,9/9/2017,680,4,0,0,0,7 days,7
Madera,MISSION,9/3/2017,9/13/2017,1037,7,4,0,0,11 days,11
Tuolumne,CREEK,9/3/2017,11/20/2017,1749,0,0,0,0,79 days,79
Plumas,EUREKA,9/5/2017,10/31/2017,437,0,0,0,0,57 days,57
El Dorado,TABLE,9/8/2017,10/17/2017,426,0,0,0,0,40 days,40
Shasta,BERRY,9/12/2017,10/4/2017,900,0,0,0,0,23 days,23
Trinity,BUCK,9/12/2017,11/5/2017,13434,0,0,0,0,55 days,55
Madera,EASTMAN,9/18/2017,9/19/2017,483,0,0,0,0,2 days,2
Tulare,LION,9/24/2017,11/27/2017,19215,0,0,0,0,65 days,65
Orange,CANYON,9/25/2017,10/3/2017,2662,0,7,0,0,9 days,9
Santa Barbara,RUCKER,9/29/2017,10/4/2017,444,0,0,0,0,6 days,6
Yuba,CASCADE (NEU WIND COMPLEX)*,10/8/2017,10/19/2017,9989,264,10,0,4,12 days,12
Nevada,MCCOURTNEY (NEU WIND COMPLEX),10/8/2017,10/21/2017,76,13,2,0,0,14 days,14
Nevada,LOBO (NEU WIND COMPLEX),10/8/2017,10/22/2017,821,47,2,0,0,15 days,15
Mendocino,"REDWOOD VALLEY
(MENDOCINO LAKE COMPLEX)",10/8/2017,10/26/2017,36523,543,41,0,9,19 days,19
Napa,TUBBS (CENTRAL LNU COMPLEX),10/8/2017,10/31/2017,36807,0,317,1,21,24 days,24
Sonoma,ADOBE (CENTRAL LNU COMPLEX -NUNS),10/8/2017,10/31/2017,3700,0,0,0,0,24 days,24
Napa,PARTRICK (CENTRAL LNU COMPLEX -NUNS),10/8/2017,10/31/2017,8283,0,0,0,0,24 days,24
Butte,CHEROKEE,10/8/2017,11/5/2017,8500,6,1,0,0,29 days,29
Marin,THIRTY SEVEN,10/9/2017,10/12/2017,1660,3,1,0,0,4 days,4
Orange,CANYON 2,10/9/2017,10/17/2017,9217,25,55,0,0,9 days,9
Butte,LA PORTE (NEU WIND COMPLEX),10/9/2017,10/20/2017,6151,74,2,0,0,12 days,12
Lake,"SULPHUR
(MENDOCINO LAKE COMPLEX)",10/9/2017,10/26/2017,2207,162,8,0,0,18 days,18
Napa,ATLAS (SOUTHERN LNU COMPLEX),10/9/2017,10/28/2017,51624,783,120,0,6,20 days,20
Sonoma,NUNS (CENTRAL LNU COMPLEX),10/9/2017,10/31/2017,44573,0,172,0,3,23 days,23
