County,Tot_Damage,Year,county_up
San Benito,74060.0,2018,SAN BENITO
San Bernardino,87000.0,2018,SAN BERNARDINO
San Diego,661802.0,2018,SAN DIEGO
San Francisco,0.0,2018,SAN FRANCISCO
San Joaquin,3545100.0,2018,SAN JOAQUIN
San Luis Obispo,64793.0,2018,SAN LUIS OBISPO
San Mateo,501.0,2018,SAN MATEO
Santa Clara,435220.0,2018,SANTA CLARA
Santa Cruz,1017500.0,2018,SANTA CRUZ
Shasta,2001632823.0,2018,SHASTA
Sierra,0.0,2018,SIERRA
Siskiyou,5903209.0,2018,SISKIYOU
Solano,803800.0,2018,SOLANO
Sonoma,179486.0,2018,SONOMA
Stanislaus,40500.0,2018,STANISLAUS
Sutter,0.0,2018,SUTTER
Tehama,7227100.0,2018,TEHAMA
Trinity,71300.0,2018,TRINITY
Tulare,357026.0,2018,TULARE
Tuolumne,63896.0,2018,TUOLUMNE
Yolo,6500.0,2018,YOLO
Yuba,491300.0,2018,YUBA
Butte,175501.0,2019,BUTTE
Mendocino,108800.0,2019,MENDOCINO
Santa Clara,844021.0,2019,SANTA CLARA
Siskiyou,211500.0,2019,SISKIYOU
Riverside,496090.0,2019,RIVERSIDE
San Bernardino,158900.0,2019,SAN BERNARDINO
San Diego,371100.0,2019,SAN DIEGO
San Luis Obispo,4876280.0,2019,SAN LUIS OBISPO
Tulare,362717.0,2019,TULARE
Alameda,96100.0,2019,ALAMEDA
Alpine,0.0,2019,ALPINE
Amador,82201.0,2019,AMADOR
Butte,175501.0,2019,BUTTE
Calaveras,1104399.0,2019,CALAVERAS
Colusa,80000.0,2019,COLUSA
Contra Costa,234970.0,2019,CONTRA COSTA
Del Norte,5000.0,2019,DEL NORTE
El Dorado,3041902.0,2019,EL DORADO
Fresno,53530.0,2019,FRESNO
Glenn,160950.0,2019,GLENN
Humboldt,26701.0,2019,HUMBOLDT
Imperial,0.0,2019,IMPERIAL
Inyo,0.0,2019,INYO
Kings,1256.0,2019,KINGS
Lake,212965.0,2019,LAKE
Lassen,6320.0,2019,LASSEN
Madera,20580.0,2019,MADERA
Mariposa,261852.0,2019,MARIPOSA
Mendocino,108800.0,2019,MENDOCINO
Merced,146600.0,2019,MERCED
Modoc,502.0,2019,MODOC
